cid,cid_count,cluster_id,trip_count,bev_count,dist_bin,dist_to_de,rank,id,place_id,lat,lon,descriptio,cid_2,cid_count_,cluster__1,trip_cou_1,bev_count_,dist_bin_2,dist_to__1,rank_2,id_2,bevse_id,lat_2,lon_2,descript_1,AADT,AADT_max
"1518",14,"26","0","0","150",0.060089055410271,1,,,,,,,,,,,,,,,,,,,"4900",5200.000000
"1518",14,"26","0","0","150",0.060089055410271,1,,,,,,,,,,,,,,,,,,,"5000",5200.000000
"1518",14,"26","0","0","150",0.060089055410271,1,,,,,,,,,,,,,,,,,,,"4300",5200.000000
"1518",14,"26","0","0","150",0.060089055410271,1,,,,,,,,,,,,,,,,,,,"4600",5200.000000
"1518",14,"26","0","0","150",0.060089055410271,1,,,,,,,,,,,,,,,,,,,"5200",5200.000000
"1518",14,"26","0","0","150",0.060089055410271,1,,,,,,,,,,,,,,,,,,,"5000",5200.000000
"1369",22,"29","541","69","100",0.159828091659729,1,,,,,,,,,,,,,,,,,,,"920",18000.000000
"1369",22,"29","541","69","100",0.159828091659729,1,,,,,,,,,,,,,,,,,,,"18000",18000.000000
"1369",22,"29","541","69","100",0.159828091659729,1,,,,,,,,,,,,,,,,,,,"1100",18000.000000
"1369",22,"29","541","69","100",0.159828091659729,1,,,,,,,,,,,,,,,,,,,"340",18000.000000
"1369",22,"29","541","69","100",0.159828091659729,1,,,,,,,,,,,,,,,,,,,"320",18000.000000
"1369",22,"29","541","69","100",0.159828091659729,1,,,,,,,,,,,,,,,,,,,"1200",18000.000000
"1369",22,"29","541","69","100",0.159828091659729,1,,,,,,,,,,,,,,,,,,,"18000",18000.000000
"1369",22,"29","541","69","100",0.159828091659729,1,,,,,,,,,,,,,,,,,,,"180",18000.000000
"1369",22,"29","541","69","100",0.159828091659729,1,,,,,,,,,,,,,,,,,,,"17000",18000.000000
"1369",22,"29","541","69","100",0.159828091659729,1,,,,,,,,,,,,,,,,,,,"470",18000.000000
"1273",3,"28","58","735","150",0.068827858517768,1,,,,,,,,,,,,,,,,,,,"2000",2200.000000
"1273",3,"28","58","735","150",0.068827858517768,1,,,,,,,,,,,,,,,,,,,"1600",2200.000000
"1273",3,"28","58","735","150",0.068827858517768,1,,,,,,,,,,,,,,,,,,,"1800",2200.000000
"1273",3,"28","58","735","150",0.068827858517768,1,,,,,,,,,,,,,,,,,,,"2000",2200.000000
"1273",3,"28","58","735","150",0.068827858517768,1,,,,,,,,,,,,,,,,,,,"2200",2200.000000
"1273",3,"28","58","735","150",0.068827858517768,1,,,,,,,,,,,,,,,,,,,"2000",2200.000000
