,place_id,lat,lon,business_status,name,vicinity
0,ChIJKw5qc63FglQRR5RCtENkfXE,49.03694590000001,-119.4785846,OPERATIONAL,Husky,"Rr2 Site 78 Comp 23 Hwy 97 &, British Columbia 3, Osoyoos"
1,ChIJseOnnVLEglQRI-cshQzS8IU,49.0367792,-119.4773783,OPERATIONAL,Shell,"9121 92 Avenue, Osoyoos"
2,ChIJg_zZrTjqglQRHnjIeo22oOE,49.1599112,-119.5530057,OPERATIONAL,Moresby Fuels Ltd,"91st Street, Oliver"
3,ChIJmX8GmLLFglQRgg-pBd5ithc,49.0345165,-119.4743359,OPERATIONAL,7-Eleven,"9131 Main Street, Osoyoos"
4,ChIJVTxDPrLFglQR5MhYXMRI700,49.0326963,-119.4711991,OPERATIONAL,Osoyoos Mohawk,"9101 Main Street, Osoyoos"
5,ChIJmYlv4obPglQRTKfBVcUlPC4,48.99323649999999,-119.458536,OPERATIONAL,P & D,"33600 U.S. 97, Oroville"
6,ChIJAXFRHlzrglQRRECAEdsEezk,49.18032700000001,-119.550725,OPERATIONAL,Town Pantry - Convenience Store,"6019 Main Street, Oliver"
7,ChIJG3nNYsPrglQRQ0k7HYMbz6M,49.17759600000001,-119.5448065,OPERATIONAL,Barry Beecroft Fuel Distributors Ltd,"5918 Sawmill Road, Oliver"
8,ChIJ3SAZbB7AglQR3DhWvuFubD8,49.184814,-119.5370522,OPERATIONAL,Inkameep Food & Fuel,"7106 Camp McKinney Rd, Oliver"
9,ChIJVW8Qi3zPglQRMW1ERbTtVJ0,48.94822,-119.4354,OPERATIONAL,Exxon,"2208 Juniper Street, Oroville"
10,ChIJ63NoTTzOglQRKAkEmExZk3o,48.93931360000001,-119.434544,OPERATIONAL,Chevron Quikmart,"1501 Main Street, Oroville"
11,ChIJFzQZ8hfOglQRI5tEGOp3vO0,48.9348793,-119.4348373,OPERATIONAL,Connell Oil dba CO-ENERGY,"615 11th Avenue, Oroville"
12,ChIJRVjz-OXrglQRTnyqK2uTUn8,49.2313053,-119.5388835,OPERATIONAL,Canco Gas Station,"8102 British Columbia 97, Oliver"
13,ChIJoz8lmV7rglQRi6mafTYDJ4s,49.2360165,-119.530296,OPERATIONAL,Gulf Gas,"111 Enterprise Way, Oliver"
14,ChIJFZM2SBKNglQRo1xxn1q8DZA,49.3450511,-119.7188658,OPERATIONAL,TWIN LAKES SPOT,"1066 Highway 3A, Okanagan Falls"
15,ChIJB4JTLWOMglQR8rv9p-vFDJA,49.3450511,-119.7188658,OPERATIONAL,Twin Lakes Market,"1066 Hwy 3a, Kaleden"
16,ChIJ-TNwPCaNglQRuE8JrgWDSe8,49.3451589,-119.5750942,OPERATIONAL,24 Main,"5228 9th Avenue, Okanagan Falls"
17,ChIJeXUAR7kpnVQR52-2gVMrp04,48.707001,-119.446461,OPERATIONAL,Gavin's Petroleum,"533 Highway 7, Tonasket"
18,ChIJacvDSbcpnVQRWjHysIavvZk,48.70278819999999,-119.4418091,OPERATIONAL,Tonasket Food Mart,"589-501 South Tonasket Avenue, Tonasket"
19,ChIJh0tFz3-MglQR7Z8ZSqx9rTI,49.395875,-119.6056101,OPERATIONAL,Petro-Canada,"200 British Columbia 97, Kaleden"
0,ChIJp_wj_1jkjVQRM3CwQ3xv2tA,47.5352003,-124.3324682,OPERATIONAL,Queets Trading Post,"402 Jackson Heights Drive, Forks"
1,ChIJrQQ3u1l-jlQRAdsKuh1l93w,47.9131347,-124.5345896,OPERATIONAL,THREE RIVERS RESORT,"7764 La Push Road, Forks"
2,ChIJmQl-LdR8jlQRq30H6X5BgI0,47.9569254,-124.3881608,OPERATIONAL,76,"490 North Forks Avenue, Forks"
3,ChIJ4TPfgDB9jlQRwkI-WCFdttk,47.9662689,-124.411929,OPERATIONAL,Pettit Oil Co,"392 La Push Road, Forks"
4,ChIJrXh9odF8jlQRkdZBwFiNhiQ,47.95239539999999,-124.384679,OPERATIONAL,Mobil,"171 North Forks Avenue, Forks"
5,ChIJ56WNc9F8jlQRkCgRC7-ec-4,47.9526848,-124.385596,OPERATIONAL,Shell,"170 North Forks Avenue, Forks"
6,ChIJaUukBctijlQRoD6kcxaEbn0,47.9731144,-124.4012849,OPERATIONAL,Masco Petroleum,"231 Industrial Center, Forks"
7,ChIJq3r7ndF8jlQRfiSdLPTdRYc,47.9524173,-124.3850142,OPERATIONAL,Circle K,"171 North Forks Avenue, Forks"
8,ChIJTaSweDp9jlQRvgX1hFpjrpw,47.9660555,-124.4120407,OPERATIONAL,Masco,United States
9,ChIJIUtEOctijlQRvhVS-m49EH8,47.9739069,-124.4010333,OPERATIONAL,Pac Pride,"221 Industrial Center, Forks"
10,ChIJh7MFfUD2jVQRMqYTCnc-KaE,47.3472818,-124.2942877,OPERATIONAL,TAHOLAH MERCANTILE,"515 Quinault Street, Taholah"
0,ChIJtTucR6x8mFQRXsgRi4bRmV8,46.26078099999999,-119.1800066,OPERATIONAL,Maverik Adventure's First Stop,"3505 North Road 68, Pasco"
1,ChIJxz-Jv-t6mFQRePOtDvZW3PY,46.2725573,-119.2725709,OPERATIONAL,Conoco,"500 George Washington Way, Richland"
2,ChIJ3TyfFdF6mFQRS2Gh6PJw24Q,46.2902057,-119.2748429,OPERATIONAL,Circle K,"1401 George Washington Way, Richland"
3,ChIJP8bd9M96mFQRW_Z6KFUQ-EY,46.28552439999999,-119.2784597,OPERATIONAL,Shell,"421 Williams Boulevard, Richland"
4,ChIJTxI3YcB6mFQRULElXFquRw8,46.2764706,-119.2813257,OPERATIONAL,Conoco,"780 Stevens Drive, Richland"
